user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation,marathonRecord,marathonTrainDis3,marathonTrainPace3,marathonTrainPaceSec3,marathonTrainDays3,marathonTrainDis12,marathonTrainPace12,marathonTrainPaceSec12,marathonTrainDays12,marathonDate,halfRecord,halfTrainDis3,halfTrainPace3,halfTrainPaceSec3,halfTrainDays3,halfTrainDis12,halfTrainPace12,halfTrainPaceSec12,halfTrainDays12,halfDate,10KRecord,10KTrainDis3,10KTrainPace3,10KTrainPaceSec3,10KTrainDays3,10KTrainDis12,10KTrainPace12,10KTrainPaceSec12,10KTrainDays12,10KDate,5KRecord,5KTrainDis3,5KTrainPace3,5KTrainPaceSec3,5KTrainDays3,5KTrainDis12,5KTrainPace12,5KTrainPaceSec12,5KTrainDays12,5KDate
gxceb0tty,14,26:22,2016,56:05,2016,2:13:33,2016,5:39:37,2016,308 mi,62,61 hrs,"8,519 ft",5:39:37,115.48905969735004,11:8.521681063655365,668.5216810636554,41,102.29634767461609,11:5.027075385484181,665.0270753854842,240,2016-11-06,2:13:33.41399999999976,111.09809197144999,11:31.869556917499267,691.8695569174993,49,101.44903707938245,11:4.822142312611959,664.822142312612,257,2016-09-25,1:1:24.702999999999975,0,0,0,0,0,0,0,0,null,0:26:56.53500000000008,0,0,0,0,0,0,0,0,null
qinfoucault,14,25:23,2016,52:11,2016,1:55:03,2016,5:19:41,2016,236 mi,48,38 hrs,"3,032 ft",5:19:41.01199999999881,17.402680601985907,10:35.65366276987913,635.6536627698791,14,17.541285558054856,10:8.991648947948875,608.9916489479489,38,2016-09-24,1:55:3.1679999999996653,6.365837341187486,8:57.73056863793272,537.7305686379327,5,1.5914593352968716,8:57.73056863793272,537.7305686379327,5,2016-05-15,0:53:22.682999999999993,0,0,0,0,0,0,0,0,null,0:29:4.029999999999973,0,0,0,0,0,0,0,0,null
RunnerGeek,13,19:57,2016,43:31,2016,1:36:15,2015,4:52:41,2015,956 mi,199,122 hrs,"46,191 ft",4:27:19.109375,0,0,0,0,0,0,0,0,null,1:36:14.605999999999767,0,NaN:NaN,NaN,0,0,NaN:NaN,NaN,0,2015-07-26,0:47:15.60888671875,0,0,0,0,0,0,0,0,null,0:19:57.1869999999999,93.92649160525433,7:40.78625877521398,460.786258775214,68,23.48162290131358,7:40.78625877521398,460.786258775214,68,2016-08-06
doddy225,14,21:05,2017,45:34,2017,1:45:44,2017,3:44:55,2017,938 mi,193,133 hrs,"27,756 ft",277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null,0:49:21.10302734375,0,0,0,0,0,0,0,0,null,0:26:26.9849999999999,0,0,0,0,0,0,0,0,null
Amansio,14,26:42,2015,56:36,2016,2:02:12,2016,4:44:36,2016,33 mi,8,7 hrs,848 ft,277777:46:40,0,0,0,0,0,0,0,0,null,277777:46:40,0,0,0,0,0,0,0,0,null,1:1:10.496000000000095,0,0,0,0,0,0,0,0,null,0:33:14.055000000000064,0,0,0,0,0,0,0,0,null
csteenport,14,25:05,2017,57:16,2015,2:09:03,2015,4:44:25,2014,652 mi,128,100 hrs,"22,060 ft",4:44:25,85.96798480536535,10:18.743827954429662,618.7438279544297,31,61.11609779992629,9:57.94662915652873,597.9466291565287,113,2014-09-20,2:10:46.051000000000386,0,0,0,0,0,0,0,0,null,0:57:16.411000000000058,54.2258876309543,9:41.563973305339914,581.5639733053399,39,52.30382330644863,10:0.8948424768733503,600.8948424768734,111,2015-05-25,0:25:4.81298828125,53.568071124394685,10:51.22617297487909,651.2261729748791,31,42.36194616328299,10:48.52925128071854,648.5292512807185,119,2017-07-04
chrisewjones,14,22:26,2016,46:26,2016,1:43:04,2015,4:26:58,2015,,,,,0:0:0,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null,0:0:0,0,0,0,0,0,0,0,0,null
AIDINH,14,29:38,2018,1:05:05,2018,2:20:23,2018,4:55:23,2018,"2,179 mi",190,368 hrs,"94,430 ft",4:36:8.627000000000407,0,0,0,0,0,0,0,0,null,2:26:41.788000000000466,0,0,0,0,0,0,0,0,null,1:0:42.84900000000016,0,0,0,0,0,0,0,0,null,0:31:53.924999999999955,0,0,0,0,0,0,0,0,null
GavinMa,14,22:59,2017,48:12,2016,1:43:50,2017,3:33:24,2017,"1,962 mi",556,326 hrs,"69,331 ft",3:33:23.663000000000466,0.6234004911045316,12:49.55454609307185,769.5545460930718,2,39.396917806047064,10:27.71178173154692,627.7117817315469,88,2017-10-15,1:48:43.141999999999825,0,0,0,0,0,0,0,0,null,0:48:11.567000000000007,135.1003454832416,8:47.927894964911275,527.9278949649113,139,33.7750863708104,8:47.927894964911275,527.9278949649113,139,2016-03-22,0:23:24.142000000000053,0,0,0,0,0,0,0,0,null
JCando1027,14,22:04,2016,,,1:41:27,2015,4:17:31,2017,680 mi,122,95 hrs,"18,098 ft",4:17:31.4111328125,126.93584513906741,8:17.55516007413621,497.5551600741362,56,54.79228849630445,8:20.914414828336987,500.914414828337,111,2017-09-24,1:47:29.52197265625,0,0,0,0,0,0,0,0,null,0:55:43.094970703125,0,0,0,0,0,0,0,0,null,0:22:4.063000000000102,97.10006379426763,8:21.237480507264195,501.2374805072642,35,30.813522417057097,8:18.574636877469118,498.5746368774691,50,2016-09-21
QINGTONG,14,19:23,2016,44:02,2015,1:52:18,2016,4:11:51,2016,440 mi,47,67 hrs,"9,446 ft",4:11:50.647000000000844,127.52685158719311,8:57.31887687838173,537.3188768783817,53,89.70080074233334,9:3.2159701669625065,543.2159701669625,148,2016-10-09,1:50:14.68408203125,0,0,0,0,0,0,0,0,null,0:44:15.677999999999884,85.16173710962256,9:2.7885131930174794,542.7885131930175,37,71.29553108727804,9:5.439143570748911,545.4391435707489,120,2016-07-25,0:20:9.010999999999967,0,0,0,0,0,0,0,0,null
raaa2008,14,22:58,2016,46:50,2015,1:39:40,2016,3:47:18,2016,"1,977 mi",334,510 hrs,"223,310 ft",3:47:40.42900000000009,133.6432305582827,8:48.930461882535496,528.9304618825355,59,80.22546768654648,9:7.314121058051796,547.3141210580518,168,2016-05-15,1:39:39.95399999999972,114.62487520764203,8:59.63853734146596,539.638537341466,57,68.49812656119902,9:16.03542990290657,556.0354299029066,145,2016-03-06,0:46:50,25.423763778940437,9:38.24821406567878,578.2482140656788,19,21.415320876881207,9:39.38175374534194,579.3817537453419,45,2015-09-27,0:28:34.096000000000004,0,0,0,0,0,0,0,0,null
Rich.Quinlan,14,22:57,2016,48:30,2017,1:45:20,2017,3:58:48,2017,635 mi,121,107 hrs,"13,590 ft",3:58:48.177999999999884,8.43087436642635,8:38.00518915211944,518.0051891521194,4,2.1077185916065875,8:38.00518915211944,518.0051891521194,4,2017-02-25,1:51:0.12200000000029831,0,0,0,0,0,0,0,0,null,0:56:49.696044921875,0,0,0,0,0,0,0,0,null,0:29:3.7049560546875,0,0,0,0,0,0,0,0,null
robertorigolin,14,22:44,2016,46:29,2016,1:43:56,2016,3:29:11,2015,"1,319 mi",126,160 hrs,"14,769 ft",3:37:43.552999999999884,0,0,0,0,0,0,0,0,null,1:51:49.75699999999961,0,0,0,0,0,0,0,0,null,0:46:57.31399999999985,0,0,0,0,0,0,0,0,null,0:24:0.97900390625,0,0,0,0,0,0,0,0,null
ryan_root,14,,,30:51,2015,1:07:31,2017,2:19:52,2017,"5,092 mi",662,578 hrs,"118,015 ft",2:19:51.5732421875,454.76351160199584,6:52.49856300723053,412.49856300723053,163,174.1653388287027,6:49.90259748505912,409.9025974850591,261,2017-11-04,1:7:3,44.79931731848668,6:45.7681996379892,405.7681996379892,21,234.6108166494753,7:5.628975719933237,425.62897571993324,427,2017-02-25,0:32:36.67100000000005,0,0,0,0,0,0,0,0,null,0:15:10.274999999999977,0,0,0,0,0,0,0,0,null
SimoneRosa,14,24:52,2018,54:56,2018,2:09:06,2015,4:40:19,2016,386 mi,89,58 hrs,"6,706 ft",4:40:19.05500000000029,21.071217600589886,9:58.33284937049473,598.3328493704947,13,18.62381421369422,10:15.368287890225929,615.3682878902259,44,2016-04-10,2:11:32.16200000000026,0,0,0,0,0,0,0,0,null,0:54:56.1298828125,19.940549139430313,9:28.726063029468946,568.726063029469,15,21.97574321223406,9:57.38364914050089,597.3836491405009,62,2018-01-26,0:27:3.3640000000000327,0,0,0,0,0,0,0,0,null
SprintingYogini,14,22:41,2016,47:13,2016,1:42:54,2016,3:28:11,2016,"2,568 mi",648,427 hrs,"72,930 ft",3:50:30.68000000000029,0,0,0,0,0,0,0,0,null,1:49:31.889000000000124,0,0,0,0,0,0,0,0,null,0:49:25.661000000000058,0,0,0,0,0,0,0,0,null,0:22:47.3160400390625,72.77744097349384,9:7.518555045217681,547.5185550452177,40,85.32514044379059,9:11.26645982270145,551.2664598227014,177,2017-11-23
js.irigoyen,14,17:51,2017,36:56,2017,1:19:47,2016,2:56:41,2016,"1,050 mi",149,138 hrs,"17,931 ft",2:56:41.02000000000044,30.87509993744847,7:21.03428634252316,441.03428634252316,12,7.718774984362118,7:21.03428634252316,441.03428634252316,12,2016-04-03,1:19:46.86700000000019,4.20604098574571,6:29.987482027000738,389.98748202700074,2,1.0515102464364274,6:29.987482027000738,389.98748202700074,2,2016-03-06,0:36:55.5439453125,95.91490519227473,7:17.405433912298008,437.405433912298,43,47.30707570424349,7:20.55430240788189,440.5543024078819,84,2017-10-15,0:20:5.913000000000011,0,0,0,0,0,0,0,0,null
lance2015,14,20:22,2016,43:41,2016,1:37:20,2015,3:33:32,2016,636 mi,54,114 hrs,"49,006 ft",3:33:42.35699999999997,142.02818546733448,8:25.559339721206243,505.55933972120624,39,106.5312364074714,8:12.200572041070984,492.200572041071,154,2016-03-12,1:35:15.930000000000291,0,0,0,0,0,0,0,0,null,0:43:45.016999999999825,127.21096225781996,8:15.261665203912742,495.26166520391274,52,45.15910248921918,8:11.239737812828082,491.2397378128281,74,2015-10-15,0:26:44.13300000000004,0,0,0,0,0,0,0,0,null
rwc_iii,14,22:00,2017,45:31,2017,1:44:43,2017,5:10:23,2016,903 mi,135,136 hrs,"14,420 ft",3:34:2,0,0,0,0,0,0,0,0,null,1:57:19,0,0,0,0,0,0,0,0,null,0:50:30,0,0,0,0,0,0,0,0,null,0:26:25.9029541015625,0,0,0,0,0,0,0,0,null
sthongsa,14,36:05,2017,1:10:58,2016,2:52:02,2018,7:36:39,2016,468 mi,99,122 hrs,"19,977 ft",7:50:14.601999999998952,0,0,0,0,0,0,0,0,null,2:52:1.5190000000002328,31.307805280182794,13:22.48284610439964,802.4828461043996,18,23.373270001312807,13:59.56905552979913,839.5690555297991,57,2018-01-28,1:17:18.659999999999854,0,0,0,0,0,0,0,0,null,0:37:54.44399999999996,0,0,0,0,0,0,0,0,null
Anasteziolog,14,19:38,2017,,,1:31:25,2016,3:41:53,2017,"1,525 mi",474,259 hrs,"21,403 ft",277777:46:40,0,0,0,0,0,0,0,0,null,1:31:25.463999999999942,2.7026462193611462,8:20.077537705302404,500.0775377053024,2,0.6756615548402866,8:20.077537705302404,500.0775377053024,2,2016-09-11,0:50:9.710999999999785,0,0,0,0,0,0,0,0,null,0:39:8.943115234375,0,0,0,0,0,0,0,0,null
MTR972,13,23:38,2016,49:27,2015,1:46:49,2016,4:01:54,2016,"2,414 mi",207,219 hrs,"66,480 ft",4:1:53.86399999999958,11.651121992038144,9:10.297674139428295,550.2976741394283,3,8.439548199883182,8:58.22653090160384,538.2265309016038,13,2016-11-06,1:46:49.02400000000034,20.474614852465404,9:9.43841830780093,549.4384183078009,4,10.645421414989995,9:0.3146754310122333,540.3146754310122,14,2016-11-27,0:53:34.19900000000007,0,0,0,0,0,0,0,0,null,0:30:0.6720000000000255,0,0,0,0,0,0,0,0,null
ViPeR5000,13,17:48,2017,35:41,2015,1:19:17,2015,2:57:53,2015,"3,773 mi",831,490 hrs,"96,338 ft",3:29:18,0,0,0,0,0,0,0,0,null,1:26:33.498046875,0,0,0,0,0,0,0,0,null,0:36:46,0,0,0,0,0,0,0,0,null,0:21:16.9749755859375,0,0,0,0,0,0,0,0,null
