user,level,5K,5KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
Normarobles,11,27:47,2016,2:05:37,2016,4:56:35,2016,802 mi,110,149 hrs,"3,489 ft"
runnermomto2cuties,11,28:33,2017,2:42:41,2017,,,"1,478 mi",526,319 hrs,"2,927 ft"
jrsoto,10,17:45,2009,1:25:33,2014,,,0 mi,0,0 hrs,0 ft
Alebandit,11,20:53,2018,1:35:29,2015,3:42:34,2015,884 mi,112,119 hrs,"4,440 ft"
AYOTRI,11,14:54,2014,1:12:16,2011,2:38:23,2013,"2,697 mi",639,291 hrs,"145,331 ft"
Brunkus,11,23:51,2016,1:53:01,2018,,,"2,172 mi",374,363 hrs,"21,370 ft"
al-xaraf,11,17:49,2014,1:20:51,2015,2:56:23,2012,"1,245 mi",185,254 hrs,"60,367 ft"
Fentinak,11,3:43.9,2017,1:28:28,2017,3:30:38,2017,"2,340 mi",201,207 hrs,"85,062 ft"
QuestEons,11,22:14,2015,2:01:19,2015,,,60 mi,20,11 hrs,226 ft
quimot,11,23:07,2011,1:32:02,2011,3:27:52,2011,"1,477 mi",151,162 hrs,"85,644 ft"
Jccastro1979,11,7:49.1,2014,1:19:28,2015,2:52:56,2016,"1,109 mi",184,137 hrs,"33,598 ft"
pepemena,11,23:13,2011,1:53:17,2012,4:14:51,2014,671 mi,158,154 hrs,"49,444 ft"
Xehla507,11,18:30,2016,1:40:01,2014,3:28:10,2015,"2,565 mi",438,268 hrs,"56,952 ft"
cristo08,11,18:59,2010,1:23:37,2012,3:04:05,2010,"2,170 mi",206,282 hrs,"199,124 ft"
carolina_salas,11,21:08,2014,1:38:05,2016,3:24:22,2016,173 mi,32,28 hrs,"6,428 ft"
_Gui1985_,11,20:45,2015,1:38:51,2014,4:08:18,2015,0 mi,0,0 hrs,0 ft
Ken_North,11,30:06,2017,,,4:51:23,2013,265 mi,230,228 hrs,"8,602 ft"
CrewCop,11,24:42,2016,1:34:32,2017,,,649 mi,76,95 hrs,"25,072 ft"
jasonhargrave,11,18:25,2016,1:27:53,2016,,,783 mi,124,102 hrs,"10,324 ft"
Matt_Spivey_RWB,11,23:22,2016,1:52:14,2015,,,426 mi,73,73 hrs,"9,941 ft"
Uhnet57,11,28:27,2013,2:16:06,2014,,,"1,061 mi",360,267 hrs,"14,591 ft"
soveri,11,31:30,2015,2:43:20,2016,,,0 mi,0,0 hrs,0 ft
_GRU_,11,23:14,2013,1:45:21,2011,4:48:59,2012,"4,097 mi",584,514 hrs,"111,041 ft"
Evaczubernat,11,26:02,2016,1:57:28,2015,4:35:22,2016,"1,500 mi",271,265 hrs,"66,696 ft"
f3af63c8-0418-4fbd-b6eb-6a9c36b85a7d,11,26:22,2018,2:05:58,2018,,,653 mi,192,131 hrs,"20,489 ft"
065e8431-d158-4d7f-b0d0-8036d048f72e,11,17:37,2017,1:21:34,2017,,,"1,027 mi",133,125 hrs,"19,124 ft"
enno3004,11,26:26,2015,2:07:00,2014,,,621 mi,142,133 hrs,"26,919 ft"
wmische9,11,21:21,2016,1:35:25,2016,3:49:08,2016,333 mi,38,47 hrs,"12,529 ft"
kcthomas03,11,23:43,2015,1:46:03,2011,4:01:53,2011,479 mi,66,55 hrs,"24,364 ft"
RachelRunner78,11,25:14,2018,2:13:13,2017,5:24:54,2016,"1,911 mi",342,387 hrs,"31,369 ft"
littlegain,11,23:43,2017,1:58:43,2017,,,"1,695 mi",172,310 hrs,"98,039 ft"
JennDavis2016,11,27:14,2016,2:07:26,2017,4:41:59,2018,801 mi,250,186 hrs,"4,641 ft"
Kattija,11,18:09,2017,1:45:26,2017,,,"2,401 mi",730,443 hrs,"34,249 ft"
4a7a7202-f34e-4622-b1f9-f6fd517013ab,11,22:55,2018,1:57:12,2017,,,"3,326 mi",384,247 hrs,"54,969 ft"
edcollins,11,34:15,2017,2:28:21,2016,7:14:52,2017,"3,330 mi",633,861 hrs,"130,707 ft"
Sgookin,11,33:47,2016,2:42:29,2016,,,387 mi,110,82 hrs,"5,323 ft"
metatnd,11,25:03,2016,2:12:23,2016,,,657 mi,188,107 hrs,"17,874 ft"
Newyorklady77,11,34:04,2013,2:11:00,2014,,,0 mi,0,0 hrs,0 ft
Brendan19,10,21:10,2014,1:40:19,2013,3:42:41,2014,"2,356 mi",336,385 hrs,"111,016 ft"
DeniseDwyer,11,23:27,2016,1:48:39,2016,4:57:15,2016,"1,806 mi",593,350 hrs,"39,919 ft"
MamaDodson,11,29:22,2017,2:22:31,2017,,,923 mi,153,161 hrs,"18,998 ft"
PaulTosi,11,23:59,2017,1:55:08,2017,5:50:49,2017,"1,154 mi",157,208 hrs,"38,283 ft"
aucutt79,10,22:14,2016,2:17:34,2015,,,337 mi,73,51 hrs,"16,436 ft"
dave_a_davidson,11,20:20,2016,1:33:57,2016,3:39:24,2015,"4,536 mi",940,741 hrs,"233,576 ft"
Aguinaga80,11,16:50,2017,1:21:40,2017,2:59:52,2017,"2,121 mi",272,251 hrs,"33,850 ft"
jhar07,11,17:55,2015,1:20:38,2015,3:03:14,2015,"1,962 mi",257,267 hrs,"23,652 ft"
Manny2377,11,19:32,2017,1:30:32,2016,3:06:27,2017,"1,461 mi",264,194 hrs,"78,845 ft"
629d0a5f-cfd8-48d5-a52d-d7c0d0662dfa,11,21:09,2017,1:55:11,2017,,,"4,775 mi",405,433 hrs,"150,790 ft"
AOVERTON!,11,21:44,2018,2:36:25,2017,,,289 mi,145,54 hrs,"2,013 ft"
amyruns77,11,23:44,2017,1:52:50,2016,4:08:51,2016,"2,000 mi",273,279 hrs,"48,875 ft"
Cade8,11,19:28,2017,1:28:08,2017,3:07:37,2016,"3,729 mi",544,552 hrs,"98,315 ft"
dkyle21,11,22:49,2014,1:43:03,2014,3:44:44,2016,390 mi,416,281 hrs,"6,952 ft"
DaveScarpello,11,26:23,2016,2:08:13,2016,5:22:29,2016,385 mi,64,99 hrs,"22,492 ft"
DavePete57,11,32:38,2017,2:49:43,2017,,,796 mi,245,201 hrs,"38,183 ft"
29f816e5-029e-4ab4-b23a-a877974bd005,11,24:22,2017,2:40:37,2017,,,"1,903 mi",219,161 hrs,"36,042 ft"
inkedchinagirl,11,25:55,2017,2:12:23,2017,5:44:49,2017,416 mi,139,78 hrs,"1,846 ft"
1TuffMomma,11,20:49,2016,1:45:52,2016,4:07:51,2017,"1,512 mi",360,282 hrs,"7,188 ft"
Planodaddio,11,19:31,2018,1:42:37,2017,4:27:39,2017,"1,634 mi",323,249 hrs,"14,683 ft"
Sandy648,11,24:19,2017,1:55:48,2017,,,826 mi,204,161 hrs,"51,901 ft"
slkeene,11,19:50,2018,1:31:45,2017,3:20:23,2017,"1,200 mi",212,173 hrs,"60,521 ft"
Bsmith4748,11,27:38,2017,2:36:04,2016,,,218 mi,56,42 hrs,"4,373 ft"
Caviezels,11,20:37,2017,1:40:04,2017,3:32:25,2017,"1,682 mi",372,267 hrs,"55,288 ft"
EdwardGaddis,11,24:40,2015,2:03:26,2015,5:58:21,2016,328 mi,91,51 hrs,"1,877 ft"
erin.vagelatos,11,29:35,2017,2:17:31,2016,5:31:11,2017,271 mi,93,79 hrs,"8,977 ft"
skidoorn2000,11,14:11,2017,2:07:01,2012,5:22:19,2012,818 mi,155,110 hrs,"21,810 ft"
milestogo324,11,25:50,2016,1:58:30,2016,,,405 mi,206,206 hrs,"29,774 ft"
RunnerChick73,11,21:12,2013,1:40:53,2015,4:24:56,2014,"2,281 mi",466,436 hrs,"104,750 ft"
mattburskey,11,22:22,2014,1:41:46,2014,4:03:35,2015,"2,104 mi",352,320 hrs,"116,359 ft"
michellerum,11,21:59,2015,1:39:11,2017,3:21:29,2016,"2,331 mi",522,432 hrs,"41,743 ft"
MrsRoudy,11,20:57,2014,1:36:32,2015,3:25:50,2014,"2,299 mi",335,368 hrs,"33,688 ft"
SprintingYogini,11,22:41,2016,1:42:54,2016,3:28:11,2016,"2,578 mi",652,428 hrs,"72,809 ft"
christyruns,11,21:10,2013,1:40:18,2013,3:56:56,2012,0 mi,0,0 hrs,0 ft
BrianHurd,1,23:23,2017,1:58:33,2014,4:58:53,2014,606 mi,144,92 hrs,"31,398 ft"
AJones1979,2,16:46,2016,1:27:09,2016,3:10:56,2017,"1,296 mi",225,148 hrs,"46,914 ft"
Lukyn_S,7,21:12,2016,1:51:01,2015,,,"1,032 mi",264,206 hrs,"49,521 ft"
Yvetinecka,8,26:28,2017,2:09:23,2017,5:33:22,2017,"1,134 mi",333,349 hrs,"68,055 ft"
Jakub__,10,16:13,2015,1:15:57,2016,2:50:50,2016,"1,424 mi",168,259 hrs,"154,032 ft"
SoblikLukasz,11,23:16,2017,2:22:45,2017,6:19:14,2017,"1,906 mi",295,437 hrs,"292,737 ft"
Piterix,11,22:04,2017,1:45:39,2017,,,939 mi,124,140 hrs,"16,621 ft"
sebzaj,11,19:31,2015,1:35:47,2015,3:26:08,2015,"2,001 mi",376,518 hrs,"337,900 ft"
Luk4ss,10,18:50,2017,1:28:09,2016,3:11:36,2015,"1,035 mi",128,204 hrs,"104,426 ft"
Carlos310588,11,20:23,2017,1:37:01,2017,6:09:30,2017,943 mi,188,191 hrs,"177,031 ft"
Ondrej.Pistulka,11,17:33,2016,1:17:52,2016,,,"3,127 mi",282,297 hrs,"144,148 ft"
BarPiw,11,20:38,2015,1:36:29,2016,3:52:20,2017,436 mi,49,64 hrs,"9,916 ft"
adam_szofer,9,21:56,2013,1:35:28,2014,3:30:33,2016,"1,760 mi",111,131 hrs,"20,547 ft"
jaceknt,10,19:41,2015,1:27:24,2015,3:25:14,2015,"8,119 mi",237,473 hrs,"121,834 ft"
Maciej2909,11,21:44,2017,1:37:04,2017,4:08:25,2017,653 mi,75,106 hrs,"18,709 ft"
tomek.aldia,11,19:10,2017,1:37:06,2018,,,"4,150 mi",281,442 hrs,"185,413 ft"
UltraCzacha_DruzynaSzpiku,9,18:12,2017,1:22:05,2017,3:05:32,2015,"3,600 mi",608,480 hrs,"138,888 ft"
blizak,10,22:39,2017,1:39:27,2017,4:05:38,2016,"1,994 mi",231,327 hrs,"48,522 ft"
Golan92,10,20:02,2016,1:47:22,2016,3:55:13,2015,10 mi,3,2 hrs,143 ft
sta_who,11,20:21,2015,1:31:46,2015,,,"1,350 mi",113,145 hrs,"46,355 ft"
kakamay88,11,17:25,2016,1:22:43,2017,2:53:55,2017,"1,041 mi",182,132 hrs,"17,134 ft"
Wiola.H,11,21:44,2017,1:44:58,2017,3:52:11,2017,"2,942 mi",630,530 hrs,"71,898 ft"
saimon3,11,21:40,2016,1:36:53,2017,3:42:44,2016,"2,338 mi",237,333 hrs,"69,132 ft"
MarekGajRossonero,11,19:27,2017,1:29:59,2017,3:22:50,2017,"1,362 mi",292,270 hrs,"52,434 ft"
dydelf,11,21:25,2015,1:37:55,2016,3:22:50,2016,"17,516 mi",490,"1,035 hrs","644,407 ft"
AniaMajewska,10,21:48,2014,1:34:49,2015,3:35:01,2014,"3,411 mi",455,454 hrs,"45,565 ft"
f7b3a399-9510-4657-bcef-860dec560ca2,11,21:18,2017,1:38:57,2017,,,486 mi,102,78 hrs,"40,503 ft"
1bfd790d-619b-4755-866b-faea4d4844b1,11,19:50,2017,1:28:13,2017,,,"1,453 mi",224,190 hrs,"20,475 ft"
MERYNOS,10,22:29,2015,1:53:21,2017,4:34:14,2017,541 mi,74,72 hrs,"24,414 ft"
Samer79,11,20:34,2016,1:37:38,2016,3:30:31,2017,"2,105 mi",342,338 hrs,"90,331 ft"
Mariuszwysocki,11,20:54,2017,1:34:31,2017,,,"1,121 mi",212,152 hrs,"26,991 ft"
bartoszrabiega,10,20:31,2016,1:44:11,2015,3:52:40,2016,988 mi,56,120 hrs,"19,932 ft"
arturjedrzejczak,11,20:26,2017,1:42:13,2017,6:23:48,2017,972 mi,115,159 hrs,"52,002 ft"
marcoair,11,18:21,2015,1:25:16,2016,3:01:23,2016,"1,303 mi",264,281 hrs,"39,671 ft"
luczi82,11,17:58,2014,1:22:51,2015,2:59:39,2015,872 mi,124,124 hrs,"28,730 ft"
michalgoral,11,22:35,2013,2:06:47,2017,5:01:33,2017,272 mi,51,47 hrs,"9,867 ft"
Cezary_M,10,24:17,2014,2:02:48,2014,4:49:40,2014,822 mi,247,191 hrs,"14,987 ft"
McKred,11,17:31,2014,1:18:18,2014,2:54:48,2014,0 mi,0,0 hrs,0 ft
PawelIzdebski,11,20:13,2016,1:34:38,2016,3:46:02,2016,"1,079 mi",234,239 hrs,"17,005 ft"
Radekacprzak,11,19:30,2017,1:41:33,2016,,,"1,246 mi",358,185 hrs,"25,049 ft"
Lukasz_Adamczyk,11,20:13,2015,1:47:11,2016,3:29:45,2015,608 mi,193,184 hrs,"130,295 ft"
leinad88,11,18:28,2016,1:22:09,2016,3:08:34,2016,"2,512 mi",461,418 hrs,"51,085 ft"
szalek81,11,18:41,2015,1:25:12,2016,3:07:29,2015,"2,504 mi",209,215 hrs,"37,133 ft"
mgaszczak,11,23:10,2014,1:37:18,2015,3:38:53,2015,"1,534 mi",135,178 hrs,"87,592 ft"
PiotrSS,11,20:06,2014,1:29:24,2014,3:54:56,2014,"1,015 mi",219,136 hrs,"18,146 ft"
Tomaszek1984,11,21:21,2015,1:46:58,2015,,,233 mi,68,27 hrs,"2,831 ft"
Haren_Broog,10,18:25,2017,1:27:09,2016,3:25:39,2014,"2,170 mi",282,292 hrs,"69,936 ft"
Darek1964,10,26:42,2014,2:05:21,2014,,,959 mi,191,177 hrs,"19,121 ft"
Runner-wzj,0,22:26,2016,1:41:31,2016,,,0 mi,0,0 hrs,0 ft
Devashis,1,34:11,2017,3:14:49,2017,,,439 mi,171,134 hrs,"15,580 ft"
Runnah28,2,22:11,2016,1:55:17,2017,,,"1,767 mi",303,247 hrs,"26,693 ft"
Bobbe83,4,22:24,2016,1:48:41,2017,,,803 mi,128,133 hrs,"61,652 ft"
Ced-irc,11,21:34,2016,1:34:43,2017,4:23:28,2017,609 mi,66,116 hrs,"55,395 ft"
vincentkdo,11,18:49,2016,1:25:36,2014,3:01:58,2012,"1,607 mi",380,229 hrs,"43,175 ft"
dam28800,11,17:12,2017,1:22:49,2015,3:02:55,2015,"1,496 mi",224,181 hrs,"26,264 ft"
er-one,11,19:15,2014,1:34:10,2014,3:16:48,2013,"1,298 mi",140,240 hrs,"178,383 ft"
matthieuzanesi,11,18:19,2014,1:14:20,2014,2:37:50,2013,0 mi,0,0 hrs,0 ft
fcardinet,10,27:13,2014,1:36:43,2015,3:33:44,2017,"1,146 mi",135,155 hrs,"33,299 ft"
FreddyChauviray,11,15:53,2017,1:26:24,2016,,,"8,314 mi",476,690 hrs,"318,319 ft"
Immi49,11,17:59,2017,1:24:04,2016,3:28:09,2017,"1,263 mi",192,172 hrs,"20,293 ft"
stef72200,11,17:49,2017,1:24:17,2017,3:16:23,2015,"1,086 mi",160,173 hrs,"28,982 ft"
Fredocoach44,0,22:15,2017,1:48:32,2015,,,"1,836 mi",143,140 hrs,"59,265 ft"
Soum03,3,21:44,2016,1:36:28,2016,4:09:47,2017,595 mi,170,85 hrs,"21,281 ft"
AURELIENDU39,8,19:36,2017,1:41:05,2016,,,"1,485 mi",227,259 hrs,"107,559 ft"
lexa-21,10,19:18,2017,1:28:23,2017,3:28:51,2017,"3,760 mi",299,316 hrs,"149,455 ft"
TriathTom,11,19:28,2016,1:57:46,2017,,,"4,638 mi",369,371 hrs,"303,727 ft"
EmelineSN,11,23:30,2017,1:57:50,2017,4:04:41,2017,634 mi,106,105 hrs,"38,677 ft"
jibus85,11,21:33,2015,1:42:30,2017,,,532 mi,64,61 hrs,"24,052 ft"
Februarinta,11,15:39,2016,2:06:48,2016,5:44:06,2016,903 mi,191,187 hrs,"27,290 ft"
GaspardBelgium,11,16:11,2017,1:26:18,2017,5:59:41,2017,665 mi,116,106 hrs,"30,768 ft"
stefank82,11,26:17,2016,3:37:49,2016,,,203 mi,71,50 hrs,"20,984 ft"
b9889dad-de6a-48a4-93cf-19e65300af36,8,24:09,2017,4:05:58,2017,,,120 mi,24,22 hrs,"12,998 ft"
Coachsportif_BE,11,24:00,2017,1:54:33,2015,4:24:51,2017,771 mi,100,120 hrs,"35,570 ft"
Pauline-Runner,11,29:52,2016,2:00:48,2017,,,549 mi,119,115 hrs,"43,914 ft"
Niko-RunningAddict.fr,11,19:33,2014,1:41:09,2014,,,"3,052 mi",359,291 hrs,"70,843 ft"
stefrun05,11,20:10,2016,1:44:16,2017,4:38:20,2015,"1,728 mi",235,308 hrs,"164,196 ft"
SylvainNewJersey,11,17:57,2017,1:54:45,2017,,,"1,496 mi",197,284 hrs,"61,951 ft"
Topherun35,11,8:57.9,2017,1:54:13,2016,,,278 mi,151,149 hrs,"3,604 ft"
benn0u,11,25:11,2013,2:06:17,2016,5:28:27,2014,344 mi,64,59 hrs,"22,516 ft"
AmandaPG,11,23:13,2016,1:49:55,2016,,,373 mi,67,55 hrs,"14,943 ft"
lang_run,11,20:21,2016,1:40:08,2017,3:39:50,2017,446 mi,103,62 hrs,"6,796 ft"
lesbasketsroses,11,25:27,2017,1:58:41,2017,4:28:41,2017,"1,186 mi",194,252 hrs,"88,829 ft"
TeddyPerrault,11,24:00,2017,1:59:16,2017,,,857 mi,164,141 hrs,"16,823 ft"
skinnyg23,11,19:56,2014,1:44:06,2013,,,0 mi,0,0 hrs,0 ft
Cedric59140,11,20:13,2017,1:26:12,2016,3:43:33,2017,808 mi,110,111 hrs,"18,652 ft"
Emilien08370,11,23:11,2017,1:45:41,2017,5:46:10,2017,"1,857 mi",187,233 hrs,"123,882 ft"
HerbageMaxime,11,19:16,2015,1:23:59,2015,,,27 mi,5,4 hrs,"1,741 ft"
nitoel,11,21:03,2017,1:23:53,2012,3:04:59,2012,"1,735 mi",207,280 hrs,"208,301 ft"
RomainV08,11,21:54,2017,1:50:41,2017,,,521 mi,88,70 hrs,"19,272 ft"
lionelpinot,11,22:33,2017,1:59:57,2015,,,"3,098 mi",358,331 hrs,"431,047 ft"
JeromeBeRunning,11,20:24,2016,1:35:48,2016,3:54:06,2014,"1,812 mi",240,196 hrs,"45,233 ft"
Chef_Tigrou,11,24:27,2015,1:48:45,2016,4:32:32,2017,412 mi,67,77 hrs,"29,313 ft"
Rock_n_run,11,23:03,2017,1:54:54,2016,,,666 mi,171,106 hrs,"27,762 ft"
dobie23,11,28:58,2015,1:42:57,2016,,,871 mi,128,143 hrs,"23,414 ft"
Milouze17,11,24:55,2015,1:58:06,2016,5:07:57,2015,754 mi,133,137 hrs,"11,924 ft"
MotherGa,11,27:17,2016,2:03:56,2016,4:43:44,2016,563 mi,97,99 hrs,"9,573 ft"
Furax_,10,22:11,2015,1:42:04,2015,,,487 mi,77,75 hrs,"7,096 ft"
elvis08150,11,22:05,2014,1:34:21,2014,3:56:01,2015,28 mi,5,4 hrs,"1,441 ft"
pierreantoineg,11,17:46,2015,1:15:38,2016,,,"1,586 mi",165,150 hrs,"66,663 ft"
mr_vink,11,22:45,2016,1:46:08,2016,,,150 mi,20,28 hrs,"5,306 ft"
DEGjerem,10,16:57,2016,1:25:43,2016,3:44:18,2017,"2,206 mi",287,382 hrs,"275,519 ft"
Littlepapillon,10,17:28,2017,1:26:09,2017,3:18:45,2017,"1,341 mi",165,188 hrs,"74,356 ft"
DelphineBILLET,11,24:21,2017,1:51:34,2016,,,"3,473 mi",280,388 hrs,"141,801 ft"
59c3934f-78bd-4b71-bdf9-ffde0a854945,11,20:20,2017,1:32:59,2017,,,64 mi,10,9 hrs,"1,195 ft"
85799da0-4c65-475a-80d3-409feb558c73,11,25:26,2017,2:12:34,2017,,,373 mi,59,64 hrs,"15,991 ft"
cloute08200,11,19:33,2017,,,3:19:11,2016,776 mi,124,170 hrs,"120,437 ft"
danielthms,11,15:52,2017,1:13:13,2016,,,"1,792 mi",293,239 hrs,"60,787 ft"
DavidLimousin,10,18:42,2014,1:44:08,2014,4:05:12,2014,0 mi,0,0 hrs,0 ft
EricS102,11,20:45,2016,1:56:24,2015,,,0 mi,0,0 hrs,0 ft
Flowpower,11,24:03,2014,1:43:40,2013,3:44:33,2014,608 mi,57,122 hrs,"90,433 ft"
Fredo-Gingreau,11,18:15,2017,1:24:06,2016,2:59:48,2017,"2,863 mi",311,484 hrs,"344,838 ft"
Geekircblog,11,19:27,2016,1:35:53,2016,4:04:43,2016,"1,595 mi",250,212 hrs,"24,482 ft"
Iwillberunningtilltheloverunsout,11,19:00,2017,1:34:36,2017,4:00:18,2017,814 mi,384,290 hrs,"538,491 ft"
ostroski,11,26:27,2015,2:02:12,2014,,,285 mi,84,51 hrs,"1,156,352 ft"
Manel71,11,21:13,2016,1:40:36,2016,,,705 mi,123,97 hrs,"20,144 ft"
Phil7t4,11,22:53,2015,1:44:43,2016,4:17:34,2016,131 mi,31,21 hrs,"2,360 ft"
SebRom,11,25:59,2014,1:35:49,2015,4:07:18,2013,"3,585 mi",527,447 hrs,"278,144 ft"
Xavier_Bea,11,22:03,2014,1:46:23,2016,4:44:33,2017,771 mi,112,119 hrs,"28,795 ft"
MalAuxJambes,11,23:29,2014,1:34:56,2013,3:58:18,2012,210 mi,44,35 hrs,"8,468 ft"
clemrunning,11,26:38,2013,1:59:13,2013,5:37:41,2013,0 mi,0,0 hrs,0 ft
kob91,11,18:56,2017,1:49:46,2016,,,"2,786 mi",299,261 hrs,"97,697 ft"
lalass,11,16:31,2014,1:51:39,2014,,,0 mi,0,0 hrs,0 ft
niclas.77,11,19:35,2018,1:32:12,2015,3:31:10,2015,"4,176 mi",754,403 hrs,"129,802 ft"
laurent.debruyne,11,22:35,2016,1:45:13,2015,4:20:17,2016,"1,068 mi",183,186 hrs,"17,175 ft"
guikun,11,21:23,2016,1:50:09,2016,,,47 mi,15,10 hrs,338 ft
frenchw,10,22:52,2014,1:42:55,2013,3:46:37,2015,168 mi,17,31 hrs,"12,185 ft"
lukasvisio,11,19:21,2017,1:29:57,2013,3:24:28,2017,"4,120 mi",285,931 hrs,"574,084 ft"
vinrouxh,11,22:32,2016,1:43:42,2010,,,515 mi,46,63 hrs,"26,467 ft"
Choupette14,11,24:46,2016,1:17:29,2013,,,319 mi,98,121 hrs,"22,933 ft"
SabertoothRC,11,22:15,2016,1:56:11,2016,,,0 mi,0,0 hrs,0 ft
FOXIKM,11,23:18,2015,1:47:17,2015,5:47:38,2015,259 mi,30,73 hrs,"61,978 ft"
christophe7714,11,20:59,2015,1:41:29,2015,3:58:38,2015,"2,182 mi",473,274 hrs,"54,249 ft"
Dicocolt,11,17:56,2016,1:29:24,2016,3:49:06,2015,836 mi,120,114 hrs,"21,549 ft"
Kl0viss,11,17:39,2016,1:19:36,2016,2:52:00,2017,"1,551 mi",276,236 hrs,"36,654 ft"
Kevin.Mdr,11,16:58,2017,1:18:20,2017,2:48:46,2016,"3,631 mi",290,325 hrs,"96,030 ft"
Roben13,11,18:27,2017,1:26:51,2016,3:06:30,2016,"6,720 mi",555,614 hrs,"288,799 ft"
wangjun2006,11,19:53,2016,1:25:48,2016,3:07:22,2016,488 mi,48,70 hrs,"21,898 ft"
guillais,11,18:06,2017,1:25:48,2016,3:14:14,2015,"2,807 mi",312,306 hrs,"188,652 ft"
301b2328-c220-4fb2-8759-70cd7639c101,11,19:03,2017,1:27:11,2017,,,"1,220 mi",224,159 hrs,"15,362 ft"
sagatiba.sama,11,25:16,2012,1:49:12,2012,,,0 mi,0,0 hrs,0 ft
TheTorch,11,25:33,2015,1:55:40,2015,4:08:01,2015,787 mi,95,122 hrs,"21,127 ft"
romain.merlaud,11,16:01,2016,1:15:07,2016,3:00:16,2015,"3,046 mi",412,368 hrs,"89,955 ft"
speedy_44,11,21:58,2012,1:42:38,2013,3:31:53,2013,61 mi,21,34 hrs,"7,119 ft"
tonythomasruns,11,18:41,2015,1:29:56,2015,3:27:04,2014,215 mi,61,32 hrs,"14,591 ft"
CyrBnfs,11,19:44,2015,1:38:58,2017,,,568 mi,76,96 hrs,"41,263 ft"
FranckF,11,20:21,2016,1:36:09,2016,3:39:26,2015,503 mi,73,92 hrs,"87,175 ft"
hervyd,11,16:37,2013,1:16:57,2012,2:45:22,2012,"1,199 mi",146,148 hrs,"49,796 ft"
djaibi,11,25:50,2013,1:22:21,2015,2:55:17,2013,"3,219 mi",393,495 hrs,"484,443 ft"
Julien_Pissondes,11,20:12,2016,1:31:38,2014,,,"1,381 mi",200,247 hrs,"34,715 ft"
momobek26,11,16:52,2011,1:17:24,2012,2:48:59,2015,"1,789 mi",232,275 hrs,"93,298 ft"
olivier.perraud,11,18:07,2017,1:20:18,2016,2:52:33,2017,"1,904 mi",220,241 hrs,"132,828 ft"
richou05,11,17:38,2008,1:25:59,2015,3:04:29,2013,"1,856 mi",243,349 hrs,"276,455 ft"
StevenMaille,11,19:42,2017,1:30:24,2017,3:30:53,2017,"1,587 mi",192,212 hrs,"41,708 ft"
JulienGuignard,11,18:16,2016,1:22:09,2017,2:49:42,2015,"1,806 mi",234,249 hrs,"105,760 ft"
ledocdoc,11,21:16,2015,1:30:12,2013,3:16:37,2013,0 mi,0,0 hrs,0 ft
Minnierunneuse,10,24:23,2017,1:56:27,2017,,,"1,426 mi",281,715 hrs,"190,444 ft"
SteffenRD,11,25:18,2016,2:05:51,2016,4:47:12,2015,177 mi,42,27 hrs,"1,155 ft"
