user,level,5K,5KYear,10K,10KYear,half,halfYear,marathon,marathonYear,distance,activities,time,elevation
Vlado21,11,17:08,2018,36:31,2016,1:20:22,2017,3:10:05,2017,"3,625 mi",594,432 hrs,"174,694 ft"
pavuk23,11,19:55,2014,38:52,2015,1:27:29,2013,3:16:21,2014,"1,247 mi",223,219 hrs,"168,481 ft"
TiborTRI,10,21:17,2016,43:03,2016,1:32:22,2016,3:06:13,2016,"4,295 mi",240,386 hrs,"256,068 ft"
5h1n0,11,19:30,2014,40:55,2014,1:29:05,2014,,,630 mi,118,92 hrs,"24,905 ft"
Pawlik,3,30:53,2016,49:31,2016,1:49:53,2016,,,903 mi,153,156 hrs,"109,644 ft"
jarek666777,4,18:49,2016,38:17,2017,1:23:46,2017,3:00:01,2017,"3,744 mi",244,391 hrs,"219,216 ft"
joSko_swr,6,20:20,2017,41:08,2017,1:34:05,2017,,,"1,172 mi",288,234 hrs,"51,798 ft"
6f40d0fb-0094-4a5c-a235-95ccfbc0f928,7,23:33,2017,,,,,5:15:40,2017,269 mi,45,69 hrs,"48,940 ft"
JurajZ,2,20:34,2017,46:06,2017,1:39:01,2017,3:23:40,2017,"1,187 mi",187,191 hrs,"39,466 ft"
Ludvicek,11,,,,,1:37:00,2017,,,,,,
stieranka,11,20:14,2017,38:22,2013,1:37:17,2017,3:08:49,2013,"1,733 mi",300,368 hrs,"118,258 ft"
dvorozh,11,18:37,2017,38:08,2017,1:21:48,2017,2:51:04,2016,"3,286 mi",377,446 hrs,"130,269 ft"
petkoo,11,17:23,2016,35:32,2016,1:23:09,2015,,,"2,240 mi",297,271 hrs,"59,288 ft"
goda,10,18:55,2016,38:42,2015,1:27:40,2015,,,"2,056 mi",338,393 hrs,"228,652 ft"
AndrejFoltin,11,16:13,2015,33:46,2014,1:14:12,2015,,,"3,162 mi",368,423 hrs,"268,442 ft"
Dabl,11,18:00,2016,43:07,2016,1:52:08,2015,4:01:40,2014,674 mi,92,193 hrs,"96,764 ft"
Daducha,11,26:17,2017,55:56,2017,2:02:43,2017,,,459 mi,109,151 hrs,"41,946 ft"
duchco23,11,19:12,2017,41:47,2014,1:34:24,2017,,,"3,466 mi",297,368 hrs,"229,062 ft"
jozefmraz,11,17:18,2015,35:55,2015,1:20:37,2015,3:17:13,2013,"2,507 mi",344,431 hrs,"241,273 ft"
gilmurko,0,,,40:25,2014,1:28:52,2013,3:12:09,2012,"1,527 mi",287,203 hrs,"20,890 ft"
AlzbetaUradnikova,1,21:30,2016,43:49,2016,1:38:22,2016,3:54:51,2017,"1,003 mi",160,157 hrs,"86,934 ft"
kovop,6,16:00,2017,33:55,2017,1:18:15,2016,,,"3,100 mi",468,368 hrs,"209,139 ft"
Bengo,8,21:31,2016,44:51,2016,2:02:53,2017,,,"6,092 mi",441,746 hrs,"309,389 ft"
PeterMadel,11,23:26,2013,52:03,2017,1:57:34,2014,,,"5,761 mi",208,464 hrs,"339,292 ft"
LukiStrelka,11,20:18,2017,41:22,2017,1:32:50,2017,,,"1,156 mi",379,160 hrs,"43,027 ft"
Strakam,11,21:04,2017,44:05,2017,1:40:03,2017,,,"1,595 mi",490,227 hrs,"55,260 ft"
pistas,11,19:32,2017,39:48,2014,1:38:49,2013,3:24:25,2014,"1,011 mi",156,223 hrs,"137,875 ft"
AdkaSchmiedlova,11,20:18,2016,43:32,2016,1:53:40,2015,,,369 mi,102,91 hrs,"22,142 ft"
onofrej1,11,17:34,2014,35:56,2015,1:17:32,2016,4:04:14,2015,"3,326 mi",507,551 hrs,"201,732 ft"
Gabika_Kahler,11,22:46,2017,47:50,2016,1:54:30,2016,,,828 mi,272,133 hrs,"34,663 ft"
crazymanM22,11,18:30,2017,17:02,2016,48:27,2016,,,"2,148 mi",465,275 hrs,"143,153 ft"
Martinka1985,11,23:10,2017,49:28,2017,1:48:06,2016,3:55:56,2017,"1,824 mi",311,308 hrs,"122,058 ft"
